Brand; title; product_feat; tot_price
Mavi;Cepli Mavi Gömlek;Rahat Kesim;99								,99 TL
Mavi;Cepli Pembe Gömlek;Boyfriend;109								,99 TL
Mavi;Mavi Gömlek;Boyfriend;119								,99 TL
Mavi;Nakýþlý Ýndigo Gömlek;Boyfriend;99								,99 TL
Mavi;Beyaz Gömlek;Boyfriend;89								,99 TL
Mavi;Cepli Mavi Gömlek;Boyfriend;109								,99 TL
Mavi;Kareli Kýrmýzý Gömlek;Boyfriend;109								,99 TL
Mavi;Pembe Gömlek;Boyfriend;109								,99 TL
Mavi;Beyaz Gömlek;Boyfriend;109								,99 TL
Mavi;Baskýlý Lacivert Gömlek;Rahat Kesim;109								,99 TL
Mavi;Açýk Ýndigo Bluz;Normal Kesim;89								,99 TL
Mavi;Çizgili Mavi Bluz;Rahat Kesim;89								,99 TL
Mavi;Lacivert Tunik;Boyfriend;109								,99 TL
Mavi;Pötikare Yeþil Bluz;Boyfriend;119								,99 TL
Mavi;Çizgili Mavi Bluz;Rahat Kesim;89								,99 TL
Mavi;Çizgili Gri Bluz;Rahat Kesim;89								,99 TL
Mavi;Wonder Woman Baskýlý Tiþört;Normal Kesim;49								,99 TL
Mavi;Bugs Bunny Baskýlý Tiþört;Normal Kesim;39								,99 TL
Mavi;Bugs Bunny Baskýlý Tiþört;Normal Kesim;39								,99 TL
Mavi;Sylvester Baskýlý Tiþört;Normal Kesim;39								,99 TL
