Brand; title; product_feat; tot_price
Mavi;;Yüksek Bel                                ,                            Normal Kesim;179								,99 TL
Mavi;;Skinny;139								,99 TL
Mavi;;Skinny;139								,99 TL
Mavi;;Dar Kesim;269								,99 TL
Mavi;;Dar Kesim;269								,99 TL
Mavi;;Boyfriend;349								,99 TL
Mavi;;Yarı Dar Kesim;189								,99 TL
Mavi;;Yarı Dar Kesim;189								,99 TL
Mavi;;Yarı Dar Kesim;159								,99 TL
Mavi;;Boyfriend;199								,99 TL
Mavi;;Boyfriend;179								,99 TL
Mavi;;Dar Kesim;189								,99 TL
Mavi;;Normal Kesim;189								,99 TL
Mavi;;Boyfriend;369								,99 TL
Mavi;;Normal Kesim;159								,99 TL
Mavi;;Normal Kesim;159								,99 TL
Mavi;;Normal Kesim;149								,99 TL
Mavi;;Normal Kesim;169								,99 TL
Mavi;;Normal Kesim;169								,99 TL
Mavi;;Normal Kesim;159								,99 TL
